"id","followers","genres","name","popularity"
"5uBOKfCCQlO6qrNLauUSOH",1365.00,"['polish pop']","Kasia Klich",27
"5uyjN4ufGlrGhhLyWu752Z",117.00,"['polish jazz']","Hagaw",2
"5vJhBC7PXuy0H5lMaldwLV",908.00,"['polish hardcore']","Owls Woods Graves",9
"5vgHNLPDrYD3hztA8yKoxP",626436.00,"['polish hip hop', 'polish trap']","TACONAFIDE",59
"5vhkKKR0gJtJqeQVY3fE8A",11232.00,"['polish hip hop']","Mor W.A.",23
"5w95yjTVzXm9Z630AT2QX3",1942.00,"['polish alternative']","Stach Bukowski",33
"5wgwebzH7LYXxb7QR1wa0s",126.00,"['polish early music']","Marcin Mielczewski",6
"5wnDSNOpVzG3iMuBd2kvjK",6289.00,"['atmospheric black metal', 'autonomous black metal', 'black metal', 'dark black metal', 'depressive black metal', 'dungeon synth', 'pagan black metal', 'polish black metal', 'voidgaze']","Evilfeast",21
"5x2Ufw4gSPVw4TNcGCpFT1",3449.00,"['german romanticism', 'late romantic era', 'polish classical']","Moritz Moszkowski",30
"5x6cTvPgF2D3w7IhrjTpRM",29997.00,"['polish rock']","Chłopcy Z Placu Broni",34
"5x7Mwo0pvrS8dBz9Q8FanG",2642.00,"['polish black metal']","Gruzja",25
"5xT1vs5QIozPsaUdUC5UjC",121850.00,"['polish hip hop']","Hemp Gru",48
"5y6sgY3BsTu5q1R2GylGBQ",2511.00,"['instrumental post-rock', 'polish post-rock']","Spoiwo",21
"5y7leUjjrhUswowWshGpCi",15308.00,"['polish alternative', 'polish reggae']","Pablopavo i Ludziki",41
"5yGoMjmASLRvhNL7jZndxG",21614.00,"['dub', 'dub reggae', 'irish hip hop', 'polish reggae']","Radikal Guru",38
"5yjbUO1Jocui7RKE30zfLT",145349.00,"['art rock', 'neo-progressive', 'polish prog', 'prog metal', 'progressive metal', 'progressive rock', 'symphonic rock']","Riverside",50
"5ynSJLaMOekhm2xGFlK08a",7475.00,"['polish electronica']","P.A.F.F.",48
"5yu56BixpeOYjdvMqgxm2Z",265.00,"['polish reggae']","Skambomambo",3
"5zCTsZ4SbC3W3Xk9fAylYa",1422.00,"['polish indie']","Beneficjenci Splendoru",9
