"pop_est","continent","country","geometry"
591919,"South America","Suriname","POLYGON ((-54.5247541978 2.31184886312, -55.0975874498 2.52374807374, -55.5697550116 2.42150625245, -55.9733221096 2.51036387777, -56.0733418443 2.22079498943, -55.9056001451 2.0219957544, -55.9956980048 1.81766714112, -56.5393857489 1.89952260987, -57.1500978257 2.76892690675, -57.2814334784 3.33349192953, -57.6015689765 3.33465464926, -58.0446943834 4.06086355226, -57.8602095201 4.57680105226, -57.9142889065 4.81262645102, -57.3072458563 5.07356659588, -57.1474364895 5.97314992922, -55.9493184068 5.77287791587, -55.8417797512 5.95312531171, -55.0332502916 6.0252914494, -53.9580446031 5.75654816327, -54.478632982 4.8967556828, -54.3995422024 4.21261139568, -54.006930508 3.62003774659, -54.1817260402 3.18977977133, -54.2697051662 2.73239166912, -54.5247541978 2.31184886312))"
1944643,"Europe","Latvia","POLYGON ((27.2881848488 57.4745283067, 27.7700159034 57.2442581244, 27.8552820167 56.7593264838, 28.1767094256 56.1691299506, 27.1024597511 55.7833137071, 26.4943314959 55.61510692, 25.5330465024 56.1002969428, 25.0009342791 56.1645307481, 24.8606844418 56.3725283881, 23.8782637875 56.2736713731, 22.2011568539 56.3378018256, 21.0558004086 56.0310763617, 21.0904236183 56.7838727891, 21.5818664894 57.4118706325, 22.5243412615 57.7533743354, 23.3184529965 57.0062364773, 24.1207296079 57.025692654, 24.3128625831 57.7934235704, 25.1645935401 57.9701569688, 25.602809686 57.847528795, 26.4635323422 57.4763886583, 27.2881848488 57.4745283067))"
5320045,"Europe","Norway","MULTIPOLYGON (((15.14282 79.67431, 15.52255 80.01608, 16.99085 80.05086, 18.25183 79.70175, 21.54383 78.95611, 19.02737 78.5626, 18.47172 77.82669, 17.59441 77.63796, 17.1182 76.80941, 15.91315 76.77045, 13.76259 77.38035, 14.66956 77.73565, 13.1706 78.02493, 11.22231 78.8693, 10.44453 79.65239, 13.17077 80.01046, 13.71852 79.66039, 15.14282 79.67431)), ((31.1010422026 69.5581010881, 29.39955 69.15692, 28.591929559 69.0647769233, 29.015572951 69.7664911974, 27.7322921079 70.1641930203, 26.1796220232 69.8252989773, 25.6892126808 69.092113756, 24.7356791521 68.6495567898, 23.6620495948 68.8912474637, 22.3562378272 68.8417414415, 21.2449361508 69.3704430203, 20.6455928891 69.1062472602, 20.0252689959 69.0651386583, 19.8785596046 68.4071943224, 17.9938684425 68.5673912625, 17.7291817563 68.0105518663, 16.768878615 68.0139366726, 16.1087121925 67.3024555528, 15.1084114926 66.1938668891, 13.5556897315 64.7870276964, 13.9199052263 64.4454206407, 13.5719161312 64.0491140815, 12.579935337 64.0662189806, 11.9305692888 63.1283175727, 11.9920642432 61.8003624539, 12.6311466814 61.2935716824, 12.3003658383 60.1179328477, 11.4682719255 59.4323932969, 11.0273686052 58.8561494005, 10.3565568376 59.4698070339, 8.38200035974 58.3132884792, 7.04874840661 58.0788841824, 5.66583540205 58.5881554226, 5.30823449059 59.66323192, 4.99207807783 61.9709980333, 5.91290042484 62.6144729682, 8.55341108566 63.4540082872, 10.5277091814 64.4860383165, 12.3583467953 65.8797258572, 14.7611458676 67.810641588, 16.4359273617 68.5632054715, 19.1840283546 69.8174441596, 21.3784163754 70.2551693793, 23.0237423032 70.2020718452, 24.5465434099 71.0304967312, 26.3700496762 70.9862617052, 28.1655473162 71.1854743517, 31.29341841 70.4537877469, 30.0054350115 70.1862588569, 31.1010422026 69.5581010881)), ((27.4075057309 80.0564057482, 25.9246505063 79.5178339709, 23.0244657732 79.4000117052, 20.0751884295 79.5668232287, 19.8972664731 79.8423619656, 18.4622636248 79.8598802762, 17.368015171 80.318896186, 20.455992059 80.5981556261, 21.9079447771 80.3576793485, 22.9192525571 80.6571442736, 25.4476253598 80.4073403999, 27.4075057309 80.0564057482)), ((24.72412 77.85385, 22.49032 77.44493, 20.72601 77.67704, 21.41611 77.93504, 20.8119 78.25463, 22.88426 78.45494, 23.28134 78.07954, 24.72412 77.85385)))"
5351277,"Asia","Turkmenistan","POLYGON ((52.5024597512 41.7833155381, 52.9442932473 42.1160342474, 54.079417759 42.324109402, 54.7553454934 42.0439714626, 55.4552510924 41.2598591172, 55.9681913593 41.3086416693, 57.0963912291 41.3223100856, 56.9322152037 41.8260261094, 57.7865299823 42.1705528835, 58.629010858 42.7515510117, 59.9764221536 42.2230819769, 60.083340692 41.4251461859, 60.4659529967 41.2203266465, 61.5471789895 41.2663703477, 61.8827140644 41.0848568792, 62.3742602883 40.0538862168, 63.5180147643 39.3632565374, 64.1702230162 38.8924067246, 65.2159989765 38.402695014, 66.5461503437 37.9746849635, 66.5186068053 37.3627843288, 66.2173848815 37.3937901881, 65.7456307311 37.6611640488, 65.5889477884 37.3052167832, 64.7461051777 37.1118177353, 64.5464791197 36.3120732692, 63.9828959492 36.0079574651, 63.1935384459 35.8571656357, 62.9846623066 35.4040408392, 62.230651483 35.2706639674, 61.2108170917 35.6500723333, 61.1230705097 36.491597195, 60.3776379739 36.5273831243, 59.2347619973 37.4129879827, 58.4361544127 37.5223094752, 57.3304337909 38.0292294378, 56.6193660826 38.1213943548, 56.1803747903 37.9351266546, 55.5115784036 37.9641171331, 54.8003039895 37.3924207627, 53.9215979348 37.198918362, 53.7355111021 37.9061361761, 53.8809285826 38.9520930039, 53.1010278664 39.2905736354, 53.3578080585 39.9752863633, 52.6939726093 40.0336290553, 52.9152510923 40.8765233424, 53.8581392759 40.6310344508, 54.7368453306 40.9510149196, 54.0083109882 41.5512108424, 53.7217134947 42.1231914333, 52.9167497089 41.8681165635, 52.8146887551 41.1353705918, 52.5024597512 41.7833155381))"
5491218,"Europe","Finland","POLYGON ((28.591929559 69.0647769233, 28.4459436378 68.3646129422, 29.9774263852 67.6982970242, 29.0545886574 66.9442862006, 30.21765 65.80598, 29.544429559 64.9486715766, 30.444684686 64.2044534369, 30.0358724301 63.5528136257, 31.5160921567 62.8676874864, 31.1399910825 62.3576927761, 30.211107212 61.7800277777, 28.07 60.50352, 28.0700019215 60.503519128, 28.0699975929 60.5035165473, 26.2551729672 60.4239606798, 24.4966239763 60.0573163927, 22.8696948585 59.846373196, 22.2907637875 60.3919212917, 21.3222440935 60.7201699897, 21.5448661638 61.7053294949, 21.0592110532 62.607393297, 21.5360294939 63.1897350125, 22.4427441749 63.8178103705, 24.7305115089 64.902343655, 25.3980676612 65.1114265001, 25.294043003 65.534346422, 23.9033785336 66.0069273953, 23.5658797543 66.3960509304, 23.5394730974 67.9360086127, 21.9785347836 68.6168456082, 20.6455928891 69.1062472602, 21.2449361508 69.3704430203, 22.3562378272 68.8417414415, 23.6620495948 68.8912474637, 24.7356791521 68.6495567898, 25.6892126808 69.092113756, 26.1796220232 69.8252989773, 27.7322921079 70.1641930203, 29.015572951 69.7664911974, 28.591929559 69.0647769233))"
6229794,"Asia","Lebanon","POLYGON ((35.8211007017 33.2774264593, 35.5527966652 33.2642748073, 35.4607092628 33.0890400254, 35.1260526873 33.0909003769, 35.4822066587 33.9054501409, 35.9795923195 34.6100582952, 35.9984025408 34.6449140488, 36.4481942075 34.5939352483, 36.6117501157 34.2017886419, 36.0664604022 33.8249124212, 35.8211007017 33.2774264593))"
6909701,"Oceania","Papua New Guinea","MULTIPOLYGON (((141.000210403 -2.60015105552, 142.735246617 -3.28915292726, 144.583970982 -3.86141773846, 145.27317956 -4.37373788821, 145.829786412 -4.87649789797, 145.981921828 -5.4656092261, 147.648073358 -6.08365935631, 147.891107619 -6.61401458092, 146.97090539 -6.72165658939, 147.191873814 -7.38802418379, 148.084635858 -8.04410816817, 148.734105259 -9.10466358809, 149.306835158 -9.07143564213, 149.266630894 -9.51440601974, 150.038728469 -9.68431812911, 149.738798456 -9.87293710698, 150.801627639 -10.2936866187, 150.690574986 -10.5827129045, 150.028393183 -10.6524760881, 149.782310012 -10.3932671037, 148.923137649 -10.2809225399, 147.913018427 -10.1304407691, 147.13544315 -9.49244353601, 146.567880894 -8.94255461999, 146.048481073 -8.06741423913, 144.744167922 -7.63012826908, 143.897087844 -7.9153304989, 143.286375767 -8.24549122481, 143.413913202 -8.98306894291, 142.628431431 -9.32682057052, 142.068258905 -9.15959563562, 141.03385176 -9.11789275476, 141.01705692 -5.85902190514, 141.000210403 -2.60015105552)), ((152.640016718 -3.65998300539, 153.019993524 -3.98001515057, 153.140037877 -4.49998341229, 152.827292108 -4.76642709719, 152.638673131 -4.17612721112, 152.406025832 -3.78974252687, 151.953236933 -3.46206226971, 151.384279413 -3.03542164471, 150.662049595 -2.74148609783, 150.939965448 -2.50000212973, 151.479984166 -2.77998503989, 151.82001509 -2.99997161216, 152.239989455 -3.24000864015, 152.640016718 -3.65998300539)), ((151.301390416 -5.84072844811, 150.754447056 -6.08376270918, 150.241196731 -6.31775359459, 149.709963007 -6.31651336022, 148.890064732 -6.02604013431, 148.318936802 -5.74714242923, 148.4018258 -5.43775562909, 149.2984119 -5.58374155032, 149.845561965 -5.50550343183, 149.996250442 -5.02610116946, 150.139755894 -5.00134815839, 150.236907587 -5.53222014732, 150.807467076 -5.4558423804, 151.089672073 -5.11369272219, 151.647880894 -4.75707366295, 151.53786177 -4.16780730552, 152.13679162 -4.14879037844, 152.338743117 -4.31296640383, 152.318692662 -4.86766122805, 151.982795852 -5.47806324628, 151.459106887 -5.56028045006, 151.301390416 -5.84072844811)), ((154.759990676 -5.3399838192, 155.062917922 -5.56679168053, 155.54774621 -6.20065479902, 156.019965448 -6.54001392988, 155.88002567 -6.81999684004, 155.599991083 -6.91999073652, 155.166994257 -6.53593149173, 154.729191522 -5.90082813886, 154.514114211 -5.13911752688, 154.652503697 -5.04243092206, 154.759990676 -5.3399838192)))"
6943739,"South America","Paraguay","POLYGON ((-58.1663923814 -20.1767009417, -57.8706739976 -20.7326876767, -57.9371557278 -22.0901758766, -56.8815095689 -22.2821538225, -56.4733174302 -22.0863001441, -55.7979581366 -22.35692962, -55.610682746 -22.6556193987, -55.5176393296 -23.5719975725, -55.4007472398 -23.9569353167, -55.0279017808 -24.0012736956, -54.6528342352 -23.8395781389, -54.2929595608 -24.0210140927, -54.2934763251 -24.5707996559, -54.4289460923 -25.162184747, -54.6252906968 -25.7392554664, -54.7887949286 -26.6217855771, -55.6958455064 -27.3878370094, -56.4867016262 -27.5484990374, -57.609759691 -27.3958985328, -58.6181735907 -27.1237187639, -57.6336600409 -25.6036565081, -57.7772171698 -25.1623397763, -58.8071284654 -24.7714592425, -60.0289660305 -24.0327963193, -60.846564704 -23.880712579, -62.6850571357 -22.2490292294, -62.2911793687 -21.0516346168, -62.2659612698 -20.5137346331, -61.7863264635 -19.6337366676, -60.0435646226 -19.3427466773, -59.1150424872 -19.3569060198, -58.1834714423 -19.8683993466, -58.1663923814 -20.1767009417))"
7101510,"Europe","Bulgaria","POLYGON ((22.6571496925 44.2349230007, 22.9448323911 43.8237853053, 23.3323022804 43.8970108099, 24.1006791521 43.7410513372, 25.5692716814 43.6884447292, 26.0651587257 43.9434937608, 27.2423995297 44.1759860296, 27.9701070493 43.8124681667, 28.5580814959 43.7074616563, 28.0390950864 43.2931716986, 27.6738977394 42.577892361, 27.9967204119 42.0073587103, 27.1357393735 42.1414848903, 26.1170418637 41.8269046087, 26.1061381365 41.3288988307, 25.1972013689 41.2344859889, 24.4926448911 41.5838961859, 23.692073602 41.3090809189, 22.9523771502 41.3379938828, 22.8813737322 41.9992971869, 22.3805257504 42.3202595078, 22.5450118344 42.4613620062, 22.4365946795 42.5803211533, 22.6048014666 42.8985187852, 22.9860185076 43.2111612005, 22.5001566912 43.6428144395, 22.4104464047 44.0080634629, 22.6571496925 44.2349230007))"
10248069,"Asia","Jordan","POLYGON ((35.5456653175 32.393992011, 35.7199182472 32.7091924098, 36.8340621274 32.312937527, 38.7923405291 33.3786864284, 39.1954683774 32.161008816, 39.0048856952 32.0102169866, 37.0021655617 31.5084129908, 37.9988489113 30.5084998642, 37.6681197446 30.3386652695, 37.5035819842 30.00377615, 36.740527785 29.8652833115, 36.501214227 29.5052536077, 36.0689408709 29.1974946152, 34.9560372251 29.3565546738, 34.9226025734 29.5013261988, 35.42091841 31.1000658229, 35.3975606626 31.4890860052, 35.5452519061 31.7825047877, 35.5456653175 32.393992011))"
13026129,"Africa","S. Sudan","POLYGON ((30.8338524217 3.50917160422, 29.9535001971 4.17369904217, 29.7159953143 4.60080475506, 29.1590784034 4.38926727947, 28.6966776873 4.455077216, 28.428993768 4.28715464926, 27.9799772478 4.40841339764, 27.3742261085 5.2339444035, 27.2134090512 5.55095347739, 26.4659094581 5.9467174341, 26.2134184099 6.54660329836, 25.7966479835 6.97931590416, 25.1241308937 7.50008515058, 25.1149324887 7.82510407148, 24.5673690122 8.22918793379, 23.8869795809 8.61972971293, 24.1940677212 8.7286964724, 24.5374151636 8.91753756573, 24.7949257454 9.81024091601, 25.0696036993 10.2737599633, 25.7906333284 10.4110989402, 25.9623070496 10.1364209863, 26.4773282132 9.5527303342, 26.7520061672 9.46689347359, 27.1125209817 9.6385671948, 27.8335506108 9.60423245056, 27.9708895877 9.39822398511, 28.9665971707 9.39822398511, 29.000931915 9.60423245056, 29.5159530786 9.79307354389, 29.6189573113 10.0849188699, 29.996639498 10.2909273354, 30.8378407319 9.70723668328, 31.3528618955 9.81024091601, 31.850715687 10.5312705451, 32.4000715949 11.0806264529, 32.3142347343 11.6814844772, 32.0738915246 11.9733298032, 32.6747495488 12.0248319196, 32.7434190373 12.2480077571, 33.2069380846 12.1793382687, 33.0867664797 11.4411412675, 33.2069380846 10.7201116384, 33.7219592482 10.3252620796, 33.842130853 9.98191463722, 33.8249634809 9.48406084572, 33.963392795 9.46428522942, 33.97498 8.68456, 33.8255 8.37916, 33.2948 8.35458, 32.95418 7.78497, 33.56829 7.71334, 34.0751 7.22595, 34.25032 6.82607, 34.70702 6.59422, 35.2980071182 5.506, 34.6201962679 4.84712274208, 34.005 4.24988494736, 33.39 3.79, 32.68642 3.79232, 31.88145 3.55827, 31.24556 3.7819, 30.8338524217 3.50917160422))"
16290913,"South America","Ecuador","POLYGON ((-75.3732232327 -0.15203175212, -75.2337227037 -0.91141692465, -75.5449956937 -1.56160979575, -76.6353942532 -2.60867766684, -77.8379048327 -3.00302052166, -78.4506839668 -3.87309661216, -78.6398972236 -4.54778411216, -79.2052890693 -4.95912851321, -79.6249792142 -4.45419809328, -80.0289080472 -4.34609099693, -80.4422419909 -4.42572437909, -80.4692946032 -4.05928679771, -80.1840148587 -3.82116179771, -80.3025605944 -3.40485645916, -79.7702933418 -2.65751189536, -79.9865592109 -2.22079436606, -80.3687839424 -2.68515878664, -80.9677654691 -2.2469426408, -80.7648062812 -1.96504770265, -80.9336590238 -1.05745452231, -80.5833703275 -0.906662692879, -80.3993247139 -0.2837033016, -80.0208982002 0.360340074053, -80.0906097073 0.768428859862, -79.5427620104 0.982937730306, -78.8552587552 1.3809237736, -77.8550614082 0.809925034993, -77.6686128405 0.825893052571, -77.4249843004 0.395686753741, -76.5763797675 0.256935533037, -76.2923144192 0.416047268064, -75.8014658271 0.0848013370732, -75.3732232327 -0.15203175212))"
26573706,"Africa","Mozambique","POLYGON ((34.559989048 -11.5200200334, 35.3123979022 -11.4391464169, 36.5140816587 -11.7209380022, 36.7751509946 -11.5945374488, 37.47129 -11.56876, 37.82764 -11.26879, 38.4275565936 -11.2852023251, 39.521 -10.89688, 40.31659 -10.3171, 40.3165862291 -10.3170977528, 40.316588576 -10.3170960425, 40.4783874855 -10.7654407691, 40.4372530454 -11.7617107072, 40.560811395 -12.6391765276, 40.5996203957 -14.2019751929, 40.7754752948 -14.6917644182, 40.477250604 -15.4062944475, 40.0892639504 -16.1007740211, 39.4525586281 -16.7208912086, 38.5383508644 -17.1010230445, 37.4111328468 -17.5863680966, 36.2812793312 -18.6596875953, 35.8964966164 -18.8422604306, 35.1983996925 -19.5528113746, 34.7863834979 -19.7840117327, 34.7018925311 -20.4970431454, 35.1761271502 -21.2543612607, 35.3734277687 -21.8408370907, 35.3858482537 -22.14, 35.5625455364 -22.09, 35.5339347674 -23.0707878557, 35.3717741229 -23.535358982, 35.6074703306 -23.7065630022, 35.4587455584 -24.1226099586, 35.0407348976 -24.4783505185, 34.2158240089 -24.8163143857, 33.0132100766 -25.3575733375, 32.5746321958 -25.7273182106, 32.660363397 -26.1485844866, 32.9159550311 -26.2158672014, 32.830120477 -26.7421916643, 32.0716654803 -26.7338200823, 31.9857792498 -26.2917798805, 31.8377779477 -25.8433318011, 31.7524084816 -25.4842839495, 31.9305888201 -24.3694165992, 31.6703979835 -23.6589690081, 31.1914091326 -22.2515096982, 32.2449882342 -21.1164885393, 32.5086930682 -20.3952922502, 32.6597432798 -20.304290053, 32.7727079608 -19.7155921363, 32.6119942563 -19.4193828264, 32.6548856951 -18.672089939, 32.8498608742 -17.9790573056, 32.8476387876 -16.7133981259, 32.3282389666 -16.3920740699, 31.852040643 -16.3194170061, 31.636498244 -16.0719902483, 31.1730639992 -15.8609436988, 30.3389547055 -15.8808391252, 30.2742558123 -15.5077869605, 30.1794812355 -14.796099135, 33.2140246925 -13.9718600399, 33.7897001483 -14.4518307431, 34.0648254738 -14.3599500464, 34.4596334165 -14.6130095354, 34.51766605 -15.0137085914, 34.3072912941 -15.4786414527, 34.3812919451 -16.1835596656, 35.0338102557 -16.8012997372, 35.3390629412 -16.1074402808, 35.7719047381 -15.8968588192, 35.6868453306 -14.611045831, 35.2679561704 -13.887834161, 34.9071513201 -13.5654249, 34.559989048 -13.5799976539, 34.2800061378 -12.2800253231, 34.559989048 -11.5200200334))"
28036829,"Asia","Yemen","POLYGON ((52.0000098 19.0000033635, 52.7821842792 17.3497423365, 53.1085726255 16.6510511337, 52.3852059263 16.3824112004, 52.1917293638 15.9384331324, 52.1681649107 15.5974203557, 51.1725150897 15.1752497421, 49.5745764504 14.7087665878, 48.6792305845 14.0032024195, 48.2389473814 13.9480895044, 47.9389140155 14.0072331812, 47.3544535663 13.5922197535, 46.7170764504 13.399699205, 45.8775928078 13.3477643905, 45.6250500832 13.2909461532, 45.4064587746 13.0269054224, 45.14435591 12.9539383, 44.9895333189 12.6995869003, 44.4945764504 12.7216527369, 44.175112746 12.5859504257, 43.4829586118 12.636800035, 43.2228711281 13.2209504257, 43.2514481952 13.7675837265, 43.0879439634 14.0626303166, 42.8922453143 14.8022492538, 42.6048726743 15.2133352727, 42.8050154966 15.2619627955, 42.7024377785 15.7188858098, 42.8236706887 15.9117422551, 42.7793323098 16.3478913436, 43.2183752785 16.6668899602, 43.1157975604 17.0884404566, 43.3807943052 17.5799866806, 43.7915185891 17.3199767115, 44.0626131529 17.4103587916, 45.2166512388 17.4333289657, 45.3999992206 17.3333350692, 46.366658563 17.2333153345, 46.7499943378 17.283338121, 47.0000049172 16.9499992945, 47.4666947772 17.1166816269, 48.1833435402 18.1666692164, 49.1166715839 18.6166675888, 52.0000098 19.0000033635))"
34124811,"Asia","Afghanistan","POLYGON ((66.5186068053 37.3627843288, 67.0757820983 37.3561439072, 67.8299996276 37.1449940049, 68.1355623717 37.0231151393, 68.8594458352 37.3443358424, 69.1962728209 37.1511435003, 69.5187854349 37.6089966904, 70.1165784036 37.5882227646, 70.2705741718 37.7351646999, 70.3763041523 38.138395901, 70.8068205097 38.4862816432, 71.348131138 38.2589053411, 71.2394039244 37.9532650823, 71.5419177591 37.9057744411, 71.4486934752 37.0656448431, 71.8446382995 36.7381712916, 72.193040806 36.9482876653, 72.6368896829 37.0475580918, 73.2600557799 37.4952568629, 73.9486959166 37.4215662705, 74.9800024759 37.4199901393, 75.1580277851 37.1330309108, 74.5758927754 37.0208413763, 74.0675517109 36.8361756455, 72.9200248554 36.7200070257, 71.8462919453 36.5099423284, 71.2623482604 36.0743875189, 71.4987679381 35.6505632594, 71.6130762064 35.1532034368, 71.1150187519 34.7331257187, 71.1567733092 34.3489114446, 70.881803013 33.9888559026, 69.9305432474 34.0201201442, 70.3235941914 33.3585326198, 69.6871472513 33.105498969, 69.2625220071 32.5019440781, 69.3177641132 31.9014122584, 68.9266768737 31.6201891139, 68.5569320006 31.7133100449, 67.7926892434 31.5829304062, 67.6833935891 31.3031542018, 66.9388912291 31.3049112005, 66.381457554 30.7388992376, 66.3464726093 29.887943427, 65.0468620136 29.472180691, 64.3504187356 29.5600306259, 64.1480021503 29.3408192001, 63.550260858 29.4683307968, 62.5498568053 29.318572496, 60.8742484882 29.829239, 61.7812215514 30.7358503281, 61.6993144062 31.3795061305, 60.9419446145 31.5480746526, 60.8636548196 32.1829196233, 60.5360779153 32.9812688258, 60.9637003925 33.5288323024, 60.5284298033 33.6764460312, 60.8031933938 34.4041018743, 61.2108170917 35.6500723333, 62.230651483 35.2706639674, 62.9846623066 35.4040408392, 63.1935384459 35.8571656357, 63.9828959492 36.0079574651, 64.5464791197 36.3120732692, 64.7461051777 37.1118177353, 65.5889477884 37.3052167832, 65.7456307311 37.6611640488, 66.2173848815 37.3937901881, 66.5186068053 37.3627843288))"
37345935,"Africa","Sudan","POLYGON ((24.5673690122 8.22918793379, 23.8058134295 8.66631887454, 23.4590128924 8.95428579349, 23.394779087 9.26506785729, 23.5572497901 9.68121816654, 23.5543042335 10.0892552759, 22.9775435727 10.714462592, 22.8641654802 11.1423951278, 22.87622 11.38461, 22.50869 11.67936, 22.49762 12.26024, 22.28801 12.64605, 21.93681 12.58818, 22.03759 12.95546, 22.29658 13.37232, 22.18329 13.78648, 22.51202 14.09318, 22.30351 14.32682, 22.56795 14.94429, 23.02459 15.68072, 23.88689 15.61084, 23.83766 19.58047, 23.85 20, 25 20.00304, 25 22, 29.02 22, 32.9 22, 36.86623 22, 37.18872 21.01885, 36.96941 20.83744, 37.1147 19.80796, 37.48179 18.61409, 37.86276 18.36786, 38.4100899595 17.9983074, 37.904 17.42754, 37.16747 17.26314, 36.85253 16.95655, 36.75389 16.29186, 36.32322 14.82249, 36.42951 14.42211, 36.27022 13.56333, 35.86363 12.57828, 35.26049 12.08286, 34.83163 11.31896, 34.73115 10.91017, 34.25745 10.63009, 33.96162 9.58358, 33.97498 8.68456, 33.963392795 9.46428522942, 33.8249634809 9.48406084572, 33.842130853 9.98191463722, 33.7219592482 10.3252620796, 33.2069380846 10.7201116384, 33.0867664797 11.4411412675, 33.2069380846 12.1793382687, 32.7434190373 12.2480077571, 32.6747495488 12.0248319196, 32.0738915246 11.9733298032, 32.3142347343 11.6814844772, 32.4000715949 11.0806264529, 31.850715687 10.5312705451, 31.3528618955 9.81024091601, 30.8378407319 9.70723668328, 29.996639498 10.2909273354, 29.6189573113 10.0849188699, 29.5159530786 9.79307354389, 29.000931915 9.60423245056, 28.9665971707 9.39822398511, 27.9708895877 9.39822398511, 27.8335506108 9.60423245056, 27.1125209817 9.6385671948, 26.7520061672 9.46689347359, 26.4773282132 9.5527303342, 25.9623070496 10.1364209863, 25.7906333284 10.4110989402, 25.0696036993 10.2737599633, 24.7949257454 9.81024091601, 24.5374151636 8.91753756573, 24.1940677212 8.7286964724, 23.8869795809 8.61972971293, 24.5673690122 8.22918793379))"
51181299,"Asia","South Korea","POLYGON ((126.174758742 37.7496857773, 126.237338902 37.840377916, 126.683719924 37.8047728542, 127.073308547 38.2561148138, 127.780035435 38.3045356308, 128.205745884 38.3703972438, 128.349716425 38.6122429469, 129.21291955 37.4323924831, 129.46044966 36.7841891546, 129.468304478 35.6321406113, 129.091376581 35.0824842392, 128.185850458 34.8903771022, 127.386519403 34.475673733, 126.485747512 34.3900458847, 126.373919712 34.9345604518, 126.559231399 35.6845405136, 126.117397903 36.7254847275, 126.860143264 36.8939240586, 126.174758742 37.7496857773))"
67106161,"Europe","France","MULTIPOLYGON (((-51.6577974107 4.15623240805, -52.2493375311 3.2410944686, -52.55642473 2.50470530844, -52.9396571519 2.12485769288, -53.4184651353 2.05338918702, -53.5548392401 2.33489655193, -53.7785206773 2.37670278565, -54.0880625067 2.10555654541, -54.5247541978 2.31184886312, -54.2697051662 2.73239166912, -54.1817260402 3.18977977133, -54.006930508 3.62003774659, -54.3995422024 4.21261139568, -54.478632982 4.8967556828, -53.9580446031 5.75654816327, -53.6184529283 5.64652903892, -52.8821412828 5.40985097902, -51.8233428615 4.56576813397, -51.6577974107 4.15623240805)), ((6.18632042809 49.4638028021, 6.65822960778 49.2019583197, 8.09927859867 49.017783515, 7.59367638513 48.3330191107, 7.46675906742 47.6205819769, 7.19220218266 47.44976553, 6.73657107914 47.5418012559, 6.76871382002 47.2877082383, 6.03738895023 46.7257787136, 6.02260949059 46.2729898138, 6.50009972497 46.4296727565, 6.84359297041 45.9911465521, 6.80235517745 45.7085798203, 7.09665245935 45.3330988633, 6.7499552751 45.0285179714, 7.00756229008 44.2547667507, 7.54959638839 44.1279011094, 7.43518476729 43.6938449163, 6.52924523278 43.1288923203, 4.55696251793 43.3996509873, 3.10041059735 43.0752005072, 2.98599897626 42.4730150417, 1.82679324709 42.3433847113, 0.701590610364 42.7957343613, 0.338046909191 42.5795460068, -1.50277096191 43.0340143906, -1.90135128418 43.422802029, -1.38422522623 44.0226103786, -1.19379757324 46.014917711, -2.22572424967 47.0643626979, -2.96327612956 47.5703266465, -4.49155493816 47.9549543321, -4.59234981934 48.6841604681, -3.29581397136 48.9016924099, -1.61651078938 48.6444212917, -1.93349402506 49.7763418646, -0.989468959955 49.3473758002, 1.33876102052 50.1271731634, 1.63900109214 50.9466063503, 2.51357303225 51.1485061713, 2.65842207196 50.7968480495, 3.12325158043 50.7803632676, 3.58818444176 50.378992418, 4.28602298343 49.9074966498, 4.79922163252 49.9853730332, 5.67405195478 49.5294835476, 5.89775923018 49.4426671413, 6.18632042809 49.4638028021)), ((8.74600914881 42.6281218532, 9.39000084803 43.0099848496, 9.56001631027 42.1524919704, 9.22975223149 41.3800068223, 8.77572309738 41.5836119655, 8.54421268071 42.2565166286, 8.74600914881 42.6281218532)))"
68414135,"Asia","Thailand","POLYGON ((105.21877689 14.2732117782, 104.281418085 14.4167430689, 102.988422072 14.2257211369, 102.3480994 13.3942473414, 102.584932489 12.1865949569, 101.687157831 12.6457400578, 100.831809524 12.6270848658, 100.978467238 13.4127216659, 100.097797479 13.4068563908, 100.018732538 12.3070010442, 99.4789205261 10.8463666854, 99.1537724141 9.96306142826, 99.2223987162 9.23925547936, 99.8738318217 9.20786204675, 100.279646844 8.29515289961, 100.459274123 7.42957265872, 101.017327915 6.85686859784, 101.623079055 6.7406224634, 102.141186965 6.22163605389, 101.814281854 5.81080841717, 101.154218785 5.69138418215, 101.075515578 6.20486705162, 100.259596389 6.64282481529, 100.085756871 6.46448944745, 99.6906905457 6.84821279543, 99.5196415548 7.3434538843, 98.9882528015 7.90799306888, 98.5037862488 8.38230520267, 98.3396618998 7.79451162356, 98.1500093933 8.35000743248, 98.2591500183 8.97392283776, 98.5535506531 9.93295990645, 99.0381205587 10.9605457626, 99.5872860046 11.8927627629, 99.1963537944 12.80474844, 99.2120117533 13.2692937281, 99.0977551615 13.8275025497, 98.4308191264 14.6220276962, 98.1920740092 15.1237025009, 98.5373759298 15.3084974227, 98.9033484233 16.177824205, 98.4937610209 16.8378355982, 97.8591227559 17.5679460718, 97.3758964376 18.4454377304, 97.7977828308 18.6270803899, 98.2537239929 19.7082030299, 98.9596757345 19.7529806584, 99.5433093608 20.1865976018, 100.115987583 20.4178496363, 100.548881057 20.1092379827, 100.606293573 19.508344428, 101.282014602 19.4625849472, 101.035931431 18.408928331, 101.059547561 17.51249726, 102.11359175 18.1091016708, 102.413004999 17.9327816838, 102.998705682 17.9616946477, 103.200192092 18.3096320663, 103.956476678 18.2409540878, 104.716947056 17.4288589543, 104.77932051 16.4418649358, 105.589038527 15.570316067, 105.544338414 14.7239336207, 105.21877689 14.2732117782))"
