"pop_est","continent","country","geometry"
3500000,"Africa","Somaliland","POLYGON ((48.9482047585 11.4106172817, 48.9482047585 11.4106172817, 48.9420052427 11.3942660588, 48.9384912453 10.9823273788, 48.9382328632 9.97350006758, 48.9381295103 9.45174896895, 48.4867358742 8.83762624759, 47.78942 8.003, 46.94834 7.99688, 43.67875 9.18358, 43.29699 9.54048, 42.92812 10.02194, 42.55876 10.57258, 42.776851841 10.9268785669, 43.1453048032 11.4620396997, 43.470659621 11.2777098658, 43.6666683286 10.8641692163, 44.1178035825 10.4455384384, 44.6142590676 10.4422053085, 45.5569405454 10.6980294865, 46.6454012388 10.816549384, 47.5256575865 11.1272280949, 48.0215963072 11.1930638697, 48.3787838072 11.3754816757, 48.9482064146 11.4106216496, 48.9482047585 11.4106172817))"
4510327,"Oceania","New Zealand","MULTIPOLYGON (((176.885823603 -40.0659778786, 176.508017206 -40.6048080381, 176.01244022 -41.2896241188, 175.239567499 -41.688307794, 175.067898391 -41.4258948708, 174.650972935 -41.2818209775, 175.227630243 -40.4592355283, 174.900156692 -39.9089332008, 173.824046666 -39.508854262, 173.852261998 -39.1466024717, 174.574801874 -38.7976832008, 174.743473749 -38.0278077126, 174.697016636 -37.3811288389, 174.292028437 -36.7110922178, 174.319003534 -36.5348239072, 173.840996536 -36.1219808896, 173.054171177 -35.2371253395, 172.636005487 -34.5291065407, 173.007042271 -34.4506617165, 173.551298456 -35.0061833636, 174.329390497 -35.2654957008, 174.612008905 -36.1563973935, 175.336615839 -37.2090979958, 175.35759647 -36.526193943, 175.808886754 -36.7989421527, 175.958490025 -37.5553817685, 176.763195429 -37.8812533506, 177.438813105 -37.9612484678, 178.010354446 -37.579824721, 178.517093541 -37.6953732236, 178.274731073 -38.5828125954, 177.97046024 -39.1663428688, 177.206992629 -39.1457756488, 176.939980504 -39.4497364235, 177.032946405 -39.8799427223, 176.885823603 -40.0659778786)), ((169.667814569 -43.5553256162, 170.524919875 -43.0316883278, 171.12508996 -42.5127535947, 171.569713983 -41.7674244118, 171.948708938 -41.5144165993, 172.097227004 -40.9561044248, 172.798579543 -40.4939620908, 173.020374791 -40.9190524229, 173.247234329 -41.3319987933, 173.95840539 -40.9267005348, 174.247586705 -41.3491553688, 174.248516881 -41.7700082334, 173.876446568 -42.233184096, 173.2227397 -42.9700383441, 172.711246373 -43.372287693, 173.080112746 -43.8533436013, 172.308583612 -43.8656942686, 171.452925246 -44.2425188128, 171.185137974 -44.8971041807, 170.616697219 -45.908928725, 169.831422154 -46.355774835, 169.332331171 -46.641235447, 168.411353795 -46.6199447569, 167.763744745 -46.2901974424, 166.676886021 -46.2199174945, 166.509144322 -45.8527047666, 167.046424189 -45.1109412575, 168.303763463 -44.1239730772, 168.949408808 -43.9358191872, 169.667814569 -43.5553256162)))"
4954674,"Africa","Congo","POLYGON ((18.4530652198 3.50438589112, 18.393792352 2.90044342693, 18.0942757504 2.36572154379, 17.8988354835 1.74183197673, 17.7741919288 0.855658677571, 17.8265401547 0.288923244626, 17.6635526873 -0.0580839982138, 17.6386446469 -0.424831638189, 17.5237162615 -0.743830254727, 16.8653068376 -1.22581633871, 16.4070919125 -1.7409270158, 15.9728031755 -2.71239226645, 16.0062895037 -3.53513274497, 15.7535400733 -3.85516489016, 15.1709916521 -4.34350717531, 14.582603794 -4.97023894615, 14.209034865 -4.79309213625, 14.1449560889 -4.51000864016, 13.6002348161 -4.50013844159, 13.2582401872 -4.88295745201, 12.9955172055 -4.78110320396, 12.6207597185 -4.43802336998, 12.3186076189 -4.60623015709, 11.9149630062 -5.03798674888, 11.0937728207 -3.97882659263, 11.8551216976 -3.42687061932, 11.4780387712 -2.76561899171, 11.8209635759 -2.51416147218, 12.4957027523 -2.39168832765, 12.5752844581 -1.94851124432, 13.109618768 -2.4287403296, 13.9924072608 -2.47080494549, 14.2992102393 -1.99827564861, 14.4254557634 -1.33340667074, 14.3164184913 -0.552627455247, 13.8433207536 0.0387576359011, 14.2762659034 1.19692983643, 14.0266687354 1.39567739502, 13.2826314633 1.3141836613, 13.003113641 1.83089630778, 13.0758223812 2.26709707276, 14.3378125342 2.22787466065, 15.1463419939 1.96401479737, 15.9409188168 1.72767263428, 16.0128524106 2.2676396753, 16.5370581397 3.19825470623, 17.1330424333 3.72819651938, 17.8099003435 3.560196438, 18.4530652198 3.50438589112))"
5445829,"Europe","Slovakia","POLYGON ((22.5581376482 49.0857380235, 22.2808419125 48.8253921576, 22.0856083513 48.4222643093, 21.8722363624 48.3199708116, 20.8012939796 48.6238540716, 20.473562046 48.5628500433, 20.2390543962 48.3275672471, 19.769470656 48.2026911485, 19.6613635597 48.2666148952, 19.1743648617 48.1113788926, 18.7770247738 48.0817682969, 18.6965128923 47.880953681, 17.8571326026 47.7584288601, 17.4884729346 47.8674661322, 16.9796667823 48.123497016, 16.8799829444 48.4700133327, 16.9602881202 48.5969823269, 17.1019848975 48.8169688991, 17.5450069516 48.8000190293, 17.8864848162 48.9034752468, 17.9135115903 48.9964928249, 18.1049727719 49.0439834662, 18.170498488 49.2715147976, 18.3999935238 49.3150005153, 18.5549711443 49.4950153672, 18.8531441586 49.4962297634, 18.9095748227 49.4358458522, 19.320712518 49.5715740017, 19.8250228207 49.2171253526, 20.4158394711 49.4314533555, 20.8879553565 49.3287722845, 21.6078080584 49.4701073269, 22.5581376482 49.0857380235))"
6653210,"Africa","Libya","POLYGON ((25 22, 25 20.00304, 23.85 20, 23.83766 19.58047, 19.84926 21.49509, 15.86085 23.40972, 14.8513 22.86295, 14.1438708839 22.4912889674, 13.5814245948 23.0405060898, 11.9995056495 23.4716684026, 11.5606693864 24.0979092473, 10.7713635596 24.5625320501, 10.3038468767 24.3793132594, 9.94826134608 24.9369536402, 9.9106925798 25.3654546168, 9.31941084152 26.0943248561, 9.71628584152 26.5122063258, 9.62905602381 27.1409534775, 9.75612837082 27.6882585719, 9.68388471847 28.1441738958, 9.85999799972 28.9599897324, 9.80563439295 29.4246383733, 9.48213992681 30.3075560572, 9.97001712407 30.5393248561, 10.0565751482 30.9618313665, 9.95022505051 31.3760696477, 10.6369014828 31.7614208033, 10.9447896664 32.0818146836, 11.4322534522 32.3689031032, 11.4887874691 33.1369957545, 12.66331 32.79278, 13.08326 32.87882, 13.91868 32.71196, 15.24563 32.26508, 15.71394 31.37626, 16.61162 31.18218, 18.02109 30.76357, 19.08641 30.26639, 19.57404 30.52582, 20.05335 30.98576, 19.82033 31.75179, 20.13397 32.2382, 20.85452 32.7068, 21.54298 32.8432, 22.89576 32.63858, 23.2368 32.19149, 23.60913 32.18726, 23.9275 32.01667, 24.92114 31.89936, 25.16482 31.56915, 24.80287 31.08929, 24.95762 30.6616, 24.70007 30.04419, 25 29.2386545295, 25 25.6824999964, 25 22))"
8754413,"Europe","Austria","POLYGON ((16.9796667823 48.123497016, 16.9037541033 47.7148656276, 16.3405843442 47.7129019232, 16.5342676124 47.4961709662, 16.2022982113 46.8523859727, 16.0116638526 46.6836107448, 15.1370919125 46.6587027044, 14.6324715512 46.4318173285, 13.8064754574 46.5093061387, 12.376485223 46.7675591091, 12.1530880062 47.1153931748, 11.1648279151 46.9415794948, 11.0485559424 46.7513585475, 10.4427014502 46.893546251, 9.9324483578 46.9207280544, 9.47996951665 47.1028099636, 9.63293175623 47.3476012233, 9.59422610845 47.5250580918, 9.89606814946 47.5801968451, 10.4020837745 47.3024876979, 10.5445040219 47.5663992377, 11.4264140154 47.523766181, 12.1413574561 47.7030834011, 12.6207597185 47.6723876003, 12.9326269874 47.4676455755, 13.0258512712 47.6375835231, 12.8841028174 48.2891458197, 13.2433573747 48.4161148138, 13.5959456723 48.8771719427, 14.3388977393 48.5553052842, 14.9014473813 48.9644017604, 15.2534155616 49.0390742051, 16.0296472511 48.7338990342, 16.4992826677 48.7858080104, 16.9602881202 48.5969823269, 16.8799829444 48.4700133327, 16.9796667823 48.123497016))"
9850845,"Europe","Hungary","POLYGON ((22.0856083513 48.4222643093, 22.6408199399 48.1502395697, 22.710531447 47.8821939154, 22.0997676938 47.6724392767, 21.6265149269 46.9942377793, 21.0219523455 46.3160879584, 20.2201924985 46.1274689805, 19.5960445492 46.1717298447, 18.8298380876 45.9088776719, 18.8298247929 45.908872358, 18.4560624529 45.7594811061, 17.6300663591 45.9517691107, 16.8825150896 46.3806318223, 16.5648083839 46.5037509222, 16.3705049984 46.8413272162, 16.2022982113 46.8523859727, 16.5342676124 47.4961709662, 16.3405843442 47.7129019232, 16.9037541033 47.7148656276, 16.9796667823 48.123497016, 17.4884729346 47.8674661322, 17.8571326026 47.7584288601, 18.6965128923 47.880953681, 18.7770247738 48.0817682969, 19.1743648617 48.1113788926, 19.6613635597 48.2666148952, 19.769470656 48.2026911485, 20.2390543962 48.3275672471, 20.473562046 48.5628500433, 20.8012939796 48.6238540716, 21.8722363624 48.3199708116, 22.0856083513 48.4222643093))"
9960487,"Europe","Sweden","POLYGON ((11.0273686052 58.8561494005, 11.4682719255 59.4323932969, 12.3003658383 60.1179328477, 12.6311466814 61.2935716824, 11.9920642432 61.8003624539, 11.9305692888 63.1283175727, 12.579935337 64.0662189806, 13.5719161312 64.0491140815, 13.9199052263 64.4454206407, 13.5556897315 64.7870276964, 15.1084114926 66.1938668891, 16.1087121925 67.3024555528, 16.768878615 68.0139366726, 17.7291817563 68.0105518663, 17.9938684425 68.5673912625, 19.8785596046 68.4071943224, 20.0252689959 69.0651386583, 20.6455928891 69.1062472602, 21.9785347836 68.6168456082, 23.5394730974 67.9360086127, 23.5658797543 66.3960509304, 23.9033785336 66.0069273953, 22.1831734555 65.7237405463, 21.21351688 65.0260053575, 21.3696313819 64.4135879584, 19.7788757667 63.6095543484, 17.8477791684 62.7494001329, 17.1195548845 61.3411656765, 17.8313460629 60.6365833604, 18.7877217953 60.0819143744, 17.8692248878 58.9537661811, 16.8291850115 58.7198269721, 16.4477095883 57.0411180691, 15.8797855974 56.1043018663, 14.6666813494 56.2008851182, 14.1007210629 55.4077810736, 12.9429105974 55.3617373725, 12.6251005388 56.3070801866, 11.7879423357 57.4418171251, 11.0273686052 58.8561494005))"
11138234,"South America","Bolivia","POLYGON ((-69.5296781074 -10.9517343075, -68.7861575995 -11.0363803036, -68.2712536282 -11.0145211727, -68.0481923082 -10.7120590145, -67.1738012356 -10.3068124325, -66.646908332 -9.93133147547, -65.3384352281 -9.76198780685, -65.4448370022 -10.5114511044, -65.3218987698 -10.8958720842, -65.4022814602 -11.5662704403, -64.316352912 -12.4619780412, -63.1964987861 -12.627032566, -62.8030602688 -13.0006531714, -62.127080858 -13.1987806128, -61.7132043118 -13.4892021623, -61.0841212633 -13.4793836402, -60.5033040025 -13.7759546851, -60.4591981676 -14.3540072567, -60.2643263414 -14.6459790992, -60.2511488511 -15.0772189267, -60.5429656643 -15.0939104143, -60.1583896552 -16.2582837867, -58.2412198554 -16.2995732561, -58.3880584377 -16.8771090634, -58.2808040025 -17.2717103004, -57.734558275 -17.552468357, -57.4983711412 -18.1741875139, -57.6760088772 -18.9618396949, -57.9499973212 -19.4000041643, -57.8538016425 -19.9699952125, -58.1663923814 -20.1767009417, -58.1834714423 -19.8683993466, -59.1150424872 -19.3569060198, -60.0435646226 -19.3427466773, -61.7863264635 -19.6337366676, -62.2659612698 -20.5137346331, -62.2911793687 -21.0516346168, -62.6850571357 -22.2490292294, -62.8464684719 -22.0349854469, -63.9868381415 -21.993644301, -64.3770210435 -22.7980913225, -64.9648921373 -22.0758615048, -66.2733394029 -21.8323104794, -67.1066735501 -22.7359245745, -67.8281798977 -22.8729187965, -68.2199130927 -21.4943466122, -68.757167121 -20.3726579729, -68.4422251044 -19.4050684547, -68.9668184068 -18.9816834449, -69.100246955 -18.2601254208, -69.5904237535 -17.5800118954, -68.9596353828 -16.5006979306, -69.3897641669 -15.6601290829, -69.1603466458 -15.3239738909, -69.3395346747 -14.9531954892, -68.9488866848 -14.4536394182, -68.9292238023 -13.6026836076, -68.8800795152 -12.8997290992, -68.6650797187 -12.5613001441, -69.5296781074 -10.9517343075))"
11147407,"North America","Cuba","POLYGON ((-82.2681512113 23.1886107447, -81.4044571601 23.1172714299, -80.6187686836 23.1059801295, -79.6795236885 22.7653032496, -79.2814859687 22.399201565, -78.3474344551 22.512166246, -77.9932958646 22.2771935084, -77.1464224922 21.6578514674, -76.5238248359 21.2068195663, -76.194620124 21.2205654973, -75.5982224189 21.0166244573, -75.6710603502 20.7350912541, -74.9338960436 20.6939051376, -74.1780248685 20.2846277939, -74.2966481188 20.0503785263, -74.9615946113 19.9234353704, -75.6346801419 19.8737743189, -76.3236561754 19.9528909368, -77.7554809232 19.8554808619, -77.0851084052 20.4133537867, -77.4926545885 20.6731053736, -78.1372922431 20.7399488388, -78.4828267077 21.0286133896, -78.7198665026 21.5981135116, -79.2849999661 21.5591753199, -80.2174753486 21.8273243271, -80.5175345527 22.0370789657, -81.8209433662 22.1920565862, -82.1699918281 22.3871092799, -81.7950017972 22.63696483, -82.7758979967 22.6881503362, -83.4944587878 22.1685179713, -83.9088004219 22.1545653346, -84.0521508451 21.9105750595, -84.5470301989 21.8012277288, -84.9749110583 21.8960281438, -84.4470621406 22.204949856, -84.2303570218 22.5657547063, -83.7782399157 22.7881183945, -83.2675475736 22.9830418971, -82.5104361641 23.0787466497, -82.2681512113 23.1886107447))"
