time,val,id
2014-03-12 22:30:00,0.511000,0
2014-03-13 05:45:00,0.127000,0
2014-03-13 12:45:00,0.134000,0
2014-03-14 05:30:00,0.037000,0
2014-03-14 17:15:00,0.056000,0
2014-03-14 20:15:00,0.124000,0
2014-03-15 08:00:00,0.018000,0
2014-03-16 06:45:00,0.420000,0
2014-03-16 14:45:00,0.021000,0
2014-03-16 18:00:00,0.033000,0
2014-03-17 17:30:00,0.117000,0
2014-03-18 10:45:00,0.172000,0
2014-03-18 11:15:00,0.026000,0
2014-03-18 12:00:00,0.054000,0
2014-03-20 19:00:00,0.239000,0
2014-03-21 06:45:00,0.026000,0
2014-03-22 23:15:00,0.539000,0
2014-03-23 08:30:00,0.162000,0
2014-03-24 22:15:00,0.440000,0
2014-03-25 22:00:00,0.075000,0
2014-03-26 20:45:00,0.293000,0
2014-03-28 01:00:00,0.325000,0
2014-03-29 06:15:00,0.055000,0
2014-03-29 13:45:00,0.098000,0
2014-03-29 16:00:00,0.195000,0
2014-03-29 16:15:00,0.479000,0
2014-04-01 01:00:00,0.167000,0
2014-04-01 02:15:00,0.116000,0
2014-04-01 14:45:00,0.342000,0
2014-04-03 14:15:00,0.149000,0
2014-04-03 15:45:00,0.598000,0
2014-04-03 20:30:00,0.443000,0
2014-04-04 11:15:00,0.167000,0
2014-04-04 13:45:00,0.046500,0
2014-04-06 21:00:00,0.253000,0
2014-04-07 13:30:00,1.452000,0
2014-04-07 14:45:00,0.479000,0
2014-04-08 07:45:00,1.089000,0
2014-04-10 00:00:00,0.218000,0
2014-04-10 05:45:00,0.150000,0
2014-04-10 09:45:00,0.298000,0
2014-04-10 10:45:00,0.639000,0
2014-04-10 16:30:00,0.037000,0
2014-04-10 19:15:00,0.169000,0
2014-04-11 10:00:00,1.233000,0
2014-04-11 16:45:00,0.220000,0
2014-04-11 17:15:00,0.171000,0
2014-04-12 15:30:00,0.709000,0
2014-04-13 09:15:00,0.192000,0
2014-04-14 23:00:00,0.136000,0
2014-04-14 23:30:00,0.154000,0
2014-04-16 17:00:00,0.892000,0
2014-04-16 17:30:00,0.527000,0
2014-04-16 18:45:00,0.002000,0
2014-04-17 02:45:00,0.091000,0
2014-04-17 08:45:00,0.012000,0
2014-04-17 13:00:00,0.010000,0
2014-04-17 21:30:00,0.220000,0
2014-04-18 07:00:00,0.066000,0
2014-04-18 16:30:00,0.104000,0
2014-04-19 07:15:00,0.024000,0
2014-04-19 14:45:00,0.114000,0
2014-04-20 07:30:00,0.075000,0
2014-04-21 00:30:00,0.195000,0
2014-04-21 00:45:00,0.169000,0
2014-04-21 09:45:00,0.133000,0
2014-04-22 02:15:00,0.162000,0
2014-04-22 06:45:00,0.102000,0
2014-04-22 08:30:00,0.096000,0
2014-04-24 16:00:00,0.172000,0
2014-04-24 20:30:00,0.244000,0
2014-04-26 03:00:00,0.047000,0
2014-04-27 00:45:00,0.281000,0
2014-04-28 03:45:00,0.066000,0
2014-04-28 20:15:00,0.183000,0
2014-04-29 15:15:00,0.062000,0
2014-04-29 20:15:00,0.303000,0
2014-04-30 07:30:00,0.142000,0
2014-04-30 11:45:00,0.058000,0
2014-05-01 07:15:00,0.062000,0
2014-05-01 23:00:00,0.610000,0
2014-05-02 02:30:00,0.088000,0
2014-05-02 17:15:00,0.112000,0
2014-05-02 18:30:00,0.449000,0
2014-05-03 01:30:00,0.049000,0
2014-05-05 04:45:00,0.099000,0
2014-05-05 07:30:00,0.182000,0
2014-05-06 15:45:00,0.067000,0
2014-05-06 18:45:00,0.192000,0
2014-05-08 12:30:00,0.054000,0
2014-05-09 04:30:00,0.104000,0
2014-05-09 19:00:00,0.130000,0
2014-05-10 00:00:00,0.236000,0
2014-05-11 05:30:00,0.018000,0
2014-05-12 11:45:00,0.110000,0
2014-05-12 17:00:00,0.182000,0
2014-05-13 07:00:00,1.950000,0
2014-05-13 11:30:00,2.440000,0
2014-05-13 19:30:00,0.112000,0
2014-05-14 00:15:00,0.577000,0
2014-05-14 04:15:00,0.112000,0
2014-05-14 08:15:00,0.223000,0
2014-05-15 08:30:00,0.074000,0
2014-05-15 19:00:00,0.469000,0
2014-05-15 19:45:00,0.250000,0
2014-05-16 16:00:00,0.064000,0
2014-05-17 05:00:00,0.096000,0
2014-05-17 05:45:00,0.086000,0
2014-05-17 10:15:00,0.164000,0
2014-05-17 16:15:00,0.556000,0
2014-05-17 19:45:00,0.139000,0
2014-05-18 09:30:00,0.065000,0
2014-05-18 21:00:00,0.367000,0
2014-05-18 22:15:00,0.548000,0
2014-05-18 23:15:00,0.604000,0
2014-05-19 04:30:00,0.010000,0
2014-05-19 08:30:00,0.134000,0
2014-05-19 22:30:00,0.112000,0
2014-05-20 00:00:00,0.340000,0
2014-05-21 09:15:00,0.083000,0
2014-05-21 13:45:00,0.026000,0
2014-05-22 17:00:00,0.177000,0
2014-05-23 19:30:00,0.124000,0
2014-05-23 22:00:00,0.451000,0
2014-05-24 05:45:00,0.010000,0
2014-05-24 19:30:00,0.090000,0
2014-05-25 05:00:00,0.054000,0
2014-05-26 03:30:00,0.065000,0
2014-05-27 02:30:00,0.322000,0
2014-05-27 10:30:00,0.113000,0
2014-05-28 01:00:00,0.284000,0
2014-05-30 04:00:00,0.153000,0
2014-05-30 04:30:00,0.178000,0
2014-05-30 15:30:00,0.351000,0
2014-05-31 02:30:00,0.356000,0
2014-05-31 09:15:00,0.101000,0
2014-05-31 21:00:00,0.181000,0
2014-06-01 03:15:00,0.040000,0
2014-06-02 18:15:00,0.558000,0
2014-06-03 11:00:00,0.471000,0
2014-06-03 13:00:00,0.063000,0
2014-06-03 17:15:00,0.209000,0
2014-06-03 20:30:00,0.246000,0
2014-06-04 00:15:00,0.448000,0
2014-06-04 03:15:00,0.139000,0
2014-06-04 03:30:00,0.118000,0
2014-06-05 06:30:00,0.032000,0
2014-06-05 12:30:00,0.484000,0
2014-06-06 02:30:00,0.085000,0
2014-06-06 05:30:00,0.104000,0
2014-06-06 08:00:00,0.056000,0
2014-06-06 17:30:00,0.456000,0
2014-06-06 22:45:00,0.468000,0
2014-06-06 23:45:00,0.289000,0
2014-06-07 06:30:00,0.074000,0
2014-06-08 07:45:00,0.609000,0
2014-06-09 04:30:00,0.193000,0
2014-06-09 09:45:00,0.227000,0
2014-06-10 05:00:00,0.109000,0
2014-06-10 08:00:00,0.088000,0
2014-06-10 20:30:00,0.509000,0
2014-06-11 08:00:00,0.092000,0
2014-06-11 11:45:00,0.091000,0
2014-06-11 12:00:00,0.020000,0
2014-06-12 02:15:00,0.017000,0
2014-06-12 04:15:00,0.025000,0
2014-06-12 16:45:00,0.137000,0
2014-06-13 14:15:00,0.040000,0
2014-06-13 15:45:00,1.618000,0
2014-06-13 16:45:00,0.491000,0
2014-06-14 08:00:00,0.217000,0
2014-06-14 13:15:00,0.046000,0
2014-06-14 14:00:00,0.016000,0
2014-06-15 00:00:00,0.210000,0
2014-06-15 08:00:00,0.019000,0
2014-06-15 18:15:00,0.194000,0
2014-06-16 02:15:00,0.231000,0
2014-06-16 18:30:00,0.780000,0
2014-06-17 09:00:00,0.299000,0
2014-06-18 01:15:00,0.214000,0
2014-06-18 04:45:00,0.053000,0
2014-06-19 23:15:00,0.999000,0
2014-06-21 02:45:00,0.054000,0
2014-06-22 18:30:00,0.306000,0
2014-06-22 20:45:00,0.142000,0
2014-06-23 01:45:00,0.095000,0
2014-06-23 09:15:00,0.609000,0
2014-06-23 17:45:00,0.171000,0
2014-06-24 03:00:00,0.050000,0
2014-06-24 05:30:00,0.048000,0
2014-06-24 08:30:00,0.317000,0
2014-06-24 21:45:00,0.286000,0
2014-06-25 00:15:00,0.270000,0
2014-06-25 08:00:00,0.618000,0
2014-06-27 14:30:00,0.243000,0
2014-06-28 17:45:00,0.359000,0
2014-06-30 01:45:00,0.122000,0
2014-06-30 08:30:00,0.052000,0
2014-06-30 13:00:00,0.156000,0
2014-07-01 07:30:00,0.167000,0
2014-07-01 17:15:00,1.075000,0
2014-07-02 21:15:00,0.183000,0
2014-07-02 22:30:00,0.617000,0
2014-07-02 23:15:00,0.140000,0
2014-07-03 13:15:00,0.976000,0
2014-07-03 20:00:00,2.316000,0
2014-07-04 10:15:00,0.364000,0
2014-07-04 11:30:00,0.133000,0
2014-07-04 23:15:00,0.158000,0
2014-07-05 01:45:00,0.078000,0
2014-07-05 22:45:00,0.519000,0
2014-07-06 05:45:00,0.043000,0
2014-07-06 07:00:00,0.037000,0
2014-07-06 12:45:00,0.268000,0
2014-07-07 01:45:00,0.077000,0
2014-07-07 12:00:00,0.058000,0
2014-07-08 10:00:00,0.014000,0
2014-07-08 20:45:00,0.217000,0
2014-07-09 02:00:00,0.349000,0
2014-07-09 10:45:00,2.022000,0
2014-07-10 07:00:00,0.105000,0
2014-07-10 12:45:00,0.163000,0
2014-07-11 03:45:00,0.044000,0
2014-07-11 09:30:00,0.068000,0
2014-07-11 11:15:00,0.227000,0
2014-07-11 23:15:00,0.077000,0
2014-07-15 04:30:00,0.068000,0
2014-07-15 05:00:00,0.075000,0
2014-07-15 20:00:00,0.260000,0
2014-07-15 23:45:00,0.956000,0
2014-07-16 10:15:00,0.026000,0
2014-07-18 18:00:00,0.179000,0
2014-07-19 05:15:00,0.212000,0
2014-07-19 09:45:00,0.787000,0
2014-07-20 11:45:00,1.227000,0
2014-07-21 14:45:00,0.054000,0
2014-07-21 18:15:00,0.076000,0
2014-07-22 08:30:00,0.037000,0
2014-07-22 18:00:00,0.124000,0
2014-07-24 07:00:00,0.072000,0
2014-07-24 20:30:00,0.161000,0
2014-07-25 00:15:00,0.470000,0
2014-07-25 11:00:00,0.038000,0
2014-07-25 11:45:00,0.050000,0
2014-07-26 04:15:00,0.096000,0
2014-07-27 10:00:00,0.157000,0
2014-07-27 11:15:00,0.724000,0
2014-07-27 14:15:00,0.307000,0
2014-07-27 23:15:00,0.180000,0
2014-07-29 02:00:00,0.155000,0
2014-07-29 17:30:00,0.729000,0
2014-07-29 17:45:00,1.228000,0
2014-07-30 04:15:00,0.437000,0
2014-07-31 02:15:00,0.068000,0
2014-07-31 12:30:00,2.760000,0
2014-07-31 13:15:00,2.054000,0
2014-07-31 19:00:00,0.558000,0
2014-07-31 23:15:00,0.118000,0
2014-08-01 00:00:00,0.053000,0
2014-08-01 14:45:00,0.036000,0
2014-08-01 19:00:00,0.124000,0
2014-08-01 22:30:00,0.231000,0
2014-08-03 05:00:00,0.088000,0
2014-08-03 23:30:00,0.748000,0
2014-08-04 02:15:00,0.154000,0
2014-08-04 05:45:00,0.062000,0
2014-08-04 11:15:00,0.158000,0
2014-08-04 15:30:00,0.074000,0
2014-08-05 13:15:00,0.339000,0
2014-08-05 17:30:00,1.451000,0
2014-08-05 20:15:00,0.144000,0
2014-08-06 15:00:00,0.247000,0
2014-08-06 18:30:00,0.327000,0
2014-08-07 00:30:00,0.512000,0
2014-08-08 00:15:00,0.040000,0
2014-08-08 16:30:00,0.017000,0
2014-08-09 06:00:00,0.026000,0
2014-08-10 21:00:00,0.137000,0
2014-08-10 22:45:00,0.207000,0
2014-08-11 05:00:00,0.005000,0
2014-08-11 12:15:00,1.027000,0
2014-08-11 22:00:00,0.389000,0
2014-08-12 15:45:00,0.071000,0
2014-08-13 08:30:00,0.043000,0
2014-08-13 15:15:00,0.064000,0
2014-08-14 09:00:00,0.444000,0
2014-08-14 09:15:00,0.528000,0
2014-08-14 15:45:00,0.015000,0
2014-08-14 21:30:00,0.169500,0
2014-08-15 01:00:00,0.048000,0
2014-08-16 14:15:00,0.198000,0
2014-08-16 15:30:00,0.962000,0
2014-08-17 12:30:00,0.064000,0
2014-08-17 17:45:00,0.225000,0
2014-08-18 11:45:00,0.182000,0
2014-08-18 22:30:00,0.094000,0
2014-08-20 15:00:00,0.839000,0
2014-08-20 21:15:00,0.292000,0
2014-08-21 01:15:00,0.125000,0
2014-08-21 07:30:00,0.034000,0
2014-08-22 09:45:00,0.027000,0
2014-08-22 10:30:00,0.600000,0
2014-08-22 16:15:00,0.158000,0
2014-08-23 23:00:00,0.312000,0
2014-08-24 05:15:00,0.023000,0
2014-08-24 10:15:00,0.006000,0
2014-08-25 02:45:00,0.119000,0
2014-08-25 03:00:00,0.038000,0
2014-08-26 05:30:00,0.406000,0
2014-08-27 16:15:00,0.717000,0
2014-08-28 08:15:00,0.247000,0
2014-08-28 15:45:00,0.089000,0
2014-08-28 18:00:00,0.320000,0
2014-08-29 01:15:00,0.050000,0
2014-08-29 18:30:00,0.249000,0
2014-08-29 20:00:00,0.415000,0
2014-08-30 22:45:00,0.056000,0
2014-09-02 06:45:00,0.226000,0
2014-09-02 21:00:00,0.313000,0
2014-09-03 04:30:00,0.129000,0
2014-09-03 05:30:00,0.149000,0
2014-09-04 01:00:00,0.238000,0
2014-09-04 05:00:00,0.010000,0
2014-09-04 13:15:00,0.216000,0
2014-09-04 22:00:00,0.446000,0
2014-09-05 09:45:00,0.922000,0
2014-09-06 00:45:00,0.107000,0
2014-09-08 07:45:00,0.077000,0
2014-09-09 15:30:00,0.126000,0
2014-09-10 01:00:00,0.228000,0
2014-09-10 06:00:00,0.051000,0
2014-09-10 13:00:00,0.222000,0
2014-09-10 18:15:00,0.121000,0
2014-09-10 23:30:00,0.501000,0
2014-09-12 03:00:00,1.164000,0
2014-09-13 11:30:00,0.020000,0
2014-09-13 16:30:00,0.552000,0
2014-09-14 18:45:00,0.141000,0
2014-09-14 23:00:00,0.132000,0
2014-09-14 23:30:00,0.069000,0
2014-09-15 10:30:00,1.731000,0
2014-09-18 11:30:00,0.295000,0
2014-09-18 14:00:00,0.030000,0
2014-09-18 19:15:00,0.422000,0
2014-09-19 02:15:00,0.065000,0
2014-09-19 10:45:00,0.040000,0
2014-09-19 17:45:00,0.125000,0
2014-09-19 18:15:00,1.867000,0
2014-09-20 05:45:00,0.245000,0
2014-09-20 09:45:00,0.054000,0
2014-09-20 16:45:00,0.106000,0
2014-09-21 10:15:00,0.253000,0
2014-09-21 12:15:00,0.052000,0
